site,sample_id_GC,date,CO2.TCD.ppm,N2O.ECD.ppm,CH4.FID.ppm,run_GC,sample_ID_IRMS,d15Nbulk,d15Nalpha,d15Nbeta,SP,d18O
CHOE02,CH1,24/02/2023,462.8597747,0.329402434,2.252465951,16/03/2023,2023-02-24-CH-OE2-CH1-START.raw,6.75,16.33,-2.84,19.18,43.08
CHOE02,CH1,24/02/2023,1368.718286,0.339415044,2.177467451,16/03/2023,2023-02-24-CH-OE2-CH1-END.raw,5.22,13.03,-2.59,15.62,42.61
CHOE02,CH2,24/02/2023,460.7806085,0.324047689,2.243466131,16/03/2023,2023-02-24-CH-OE2-CH2-START.raw,7.13,14.25,0.01,14.24,43.57
CHOE02,CH2,24/02/2023,1458.780398,0.339909922,2.141468171,16/03/2023,2023-02-24-CH-OE2-CH2-END.raw,6.3,14.11,-1.52,15.63,43.24
CHOE02,CH3,24/02/2023,456.0959048,0.322633438,2.219466611,16/03/2023,2023-02-24-CH-OE2-CH3-START.raw,7.11,15.36,-1.15,16.5,43.54
CHOE02,CH3,24/02/2023,1683.146121,0.326437924,2.141468171,16/03/2023,2023-02-24-CH-OE2-CH3-END.raw,6.7,14.5,-1.09,15.58,43.12
CHOE02,CH4,24/02/2023,454.4904727,0.327602843,2.192467151,16/03/2023,2023-02-24-CH-OE2-CH4-START.raw,7.01,14.94,-0.92,15.86,43.54
CHOE02,CH4,24/02/2023,1669.407832,0.348762114,2.159467811,16/03/2023,2023-02-24-CH-OE2-CH4-END.raw,5.78,13.06,-1.49,14.56,43.41
CHOE02,CH5,24/02/2023,447.029161,0.324645173,2.108468831,16/03/2023,2023-02-24-CH-OE2-CH5-START.raw,6.88,14.78,-1.01,15.79,43.33
CHOE02,CH5,24/02/2023,1002.837667,0.337478619,2.102468951,16/03/2023,2023-02-24-CH-OE2-CH5-END.raw,6.06,13.73,-1.61,15.34,43.11
CHOE02,CH1,28/02/2023,436.4490999,0.324590299,2.087469251,16/03/2023,2023-02-28-CH-OE2-CH1-START.raw,6.4,15.34,-2.53,17.87,42.76
CHOE02,CH1,28/02/2023,451.121697,0.326309855,2.099469011,16/03/2023,2023-02-28-CH-OE2-CH1-END.raw,6.65,14.73,-1.43,16.17,43.33
CHOE02,CH2,28/02/2023,433.6724918,0.326303757,2.084469311,16/03/2023,2023-02-28-CH-OE2-CH2-START.raw,6.84,15.44,-1.76,17.2,43.37
CHOE02,CH2,28/02/2023,577.4902621,0.326462318,2.072469551,16/03/2023,2023-02-28-CH-OE2-CH2-END.raw,6.79,15.28,-1.7,16.98,43.45
CHOE02,CH3,28/02/2023,449.6215391,0.32427936,2.087469251,16/03/2023,2023-02-28-CH-OE2-CH3-START.raw,6.89,15.47,-1.68,17.15,43.48
CHOE02,CH3,28/02/2023,607.1249605,0.324468361,2.075469491,16/03/2023,2023-02-28-CH-OE2-CH3-END.raw,6.69,15.84,-2.47,18.32,43.3
CHOE02,CH4,28/02/2023,434.6989157,0.324858572,2.087469251,16/03/2023,2023-02-28-CH-OE2-CH4-START.raw,6.81,15.58,-1.97,17.55,43.25
CHOE02,CH4,28/02/2023,872.3634067,0.32846293,2.087469251,16/03/2023,2023-02-28-CH-OE2-CH4-END.raw,8.09,14.16,2.03,12.13,45.08
CHOE02,CH5,28/02/2023,433.067165,0.324352521,2.087469251,16/03/2023,2023-02-28-CH-OE2-CH5-START.raw,8.14,14.91,1.37,13.54,44.52
CHOE02,CH5,28/02/2023,535.9200969,0.325584177,2.096469071,16/03/2023,2023-02-28-CH-OE2-CH5-END.raw,7.48,14.8,0.16,14.64,43.72
CHOE02,CH1,1/3/2023,456.4643647,0.507236364,2.117468651,16/03/2023,2023-03-01-CH-OE2-CH1-START.raw,-3.73,0.14,-7.61,7.75,35.27
CHOE02,CH1,1/3/2023,1033.354037,5.28685576,2.129468411,16/03/2023,2023-03-01-CH-OE2-CH1-END.raw,-26.97,-18.37,-35.58,17.21,19
CHOE02,CH2,1/3/2023,442.1470681,0.338853001,2.108468831,16/03/2023,2023-03-01-CH-OE2-CH2-START.raw,2.48,8.42,-3.47,11.9,40.03
